date,location,sales,lat,lon
2024-01-01,Mumbai,12000,19.0760,72.8777
2024-02-01,Mumbai,11500,19.0760,72.8777
2024-03-01,Mumbai,13000,19.0760,72.8777
2024-04-01,Mumbai,12500,19.0760,72.8777
2024-05-01,Mumbai,14000,19.0760,72.8777
2024-06-01,Mumbai,15000,19.0760,72.8777
2024-07-01,Mumbai,15500,19.0760,72.8777
2024-08-01,Mumbai,14800,19.0760,72.8777
2024-09-01,Mumbai,16000,19.0760,72.8777
2024-10-01,Mumbai,17000,19.0760,72.8777
2024-11-01,Mumbai,24000,19.0760,72.8777
2024-12-01,Mumbai,22000,19.0760,72.8777
2024-01-01,Delhi,9000,28.7041,77.1025
2024-02-01,Delhi,8800,28.7041,77.1025
2024-03-01,Delhi,9500,28.7041,77.1025
2024-04-01,Delhi,9200,28.7041,77.1025
2024-05-01,Delhi,9800,28.7041,77.1025
2024-06-01,Delhi,10200,28.7041,77.1025
2024-07-01,Delhi,10700,28.7041,77.1025
2024-08-01,Delhi,10400,28.7041,77.1025
2024-09-01,Delhi,11000,28.7041,77.1025
2024-10-01,Delhi,11600,28.7041,77.1025
2024-11-01,Delhi,17500,28.7041,77.1025
2024-12-01,Delhi,16000,28.7041,77.1025
2024-01-01,Bengaluru,7000,12.9716,77.5946
2024-02-01,Bengaluru,7200,12.9716,77.5946
2024-03-01,Bengaluru,7600,12.9716,77.5946
2024-04-01,Bengaluru,7800,12.9716,77.5946
2024-05-01,Bengaluru,8000,12.9716,77.5946
2024-06-01,Bengaluru,8500,12.9716,77.5946
2024-07-01,Bengaluru,8700,12.9716,77.5946
2024-08-01,Bengaluru,8600,12.9716,77.5946
2024-09-01,Bengaluru,9000,12.9716,77.5946
2024-10-01,Bengaluru,9200,12.9716,77.5946
2024-11-01,Bengaluru,13500,12.9716,77.5946
2024-12-01,Bengaluru,12800,12.9716,77.5946
